leaflet width,leaflet length ,stipels ,imbricate  calyx,habit,brachyblasts ,fruit winged perpendicular to valves,habitat ,species
2.2,7,0,1,2,1,0,1,M. ovalifolia
3,6.3,0,1,2,1,0,1,M. ovalifolia
3.4,8,0,1,2,1,0,1,M. ovalifolia
3,4.3,0,1,2,1,0,1,M. ovalifolia
2.2,5.4,0,1,2,1,0,1,M. ovalifolia
3,6.4,0,1,2,1,0,1,M. ovalifolia
2.9,6.5,0,1,2,1,0,1,M. ovalifolia
2.9,6.7,0,1,2,1,0,1,M. ovalifolia
3.2,5.4,0,1,2,1,0,1,M. ovalifolia
2.6,4.4,0,1,2,1,0,1,M. ovalifolia
2.7,5.6,0,1,2,1,0,1,M. ovalifolia
3.5,6.5,0,1,2,1,0,1,M. ovalifolia
3,8,0,1,2,1,0,1,M. ovalifolia
3.7,7.3,0,1,2,1,0,1,M. ovalifolia
3.8,7.4,0,1,2,1,0,1,M. ovalifolia
2.8,5,0,1,2,1,0,1,M. ovalifolia
2.5,5.5,0,1,2,1,0,1,M. ovalifolia
3,6.1,0,1,2,1,0,1,M. ovalifolia
2.4,5.9,0,1,2,1,0,1,M. ovalifolia
3.5,6,0,1,2,1,0,1,M. ovalifolia
2.5,5.2,0,1,2,1,0,1,M. ovalifolia
3.2,5.8,0,1,2,1,0,1,M. ovalifolia
2.9,5.9,0,1,2,1,0,1,M. ovalifolia
3.5,5.9,0,1,2,1,0,1,M. ovalifolia
3.1,6,0,1,2,1,0,1,M. ovalifolia
2.4,5.4,0,1,2,1,0,1,M. ovalifolia
3,5.6,0,1,2,1,0,1,M. ovalifolia
3.1,6.9,0,1,2,1,0,1,M. ovalifolia
2.5,5.4,0,1,2,1,0,1,M. ovalifolia
2.6,5.6,0,1,2,1,0,1,M. ovalifolia
3.4,5.3,0,1,2,1,0,1,M. ovalifolia
4.7,8.3,0,1,2,1,0,1,M. ovalifolia
3.6,7,0,1,2,1,0,1,M. ovalifolia
3.7,7,0,1,2,1,0,1,M. ovalifolia
4.2,7.5,0,1,2,1,0,1,M. ovalifolia
3.5,6.9,0,1,2,1,0,1,M. ovalifolia
3.9,7.3,0,1,2,1,0,1,M. ovalifolia
4,8.9,0,1,2,1,0,1,M. ovalifolia
3.1,6.5,0,1,2,1,0,1,M. ovalifolia
4,7.1,0,1,2,1,0,1,M. ovalifolia
3.3,6.5,0,1,2,1,0,1,M. ovalifolia
3.1,6.3,0,1,2,1,0,1,M. ovalifolia
2.9,5.8,0,1,2,1,0,1,M. ovalifolia
3,6.7,0,1,2,1,0,1,M. ovalifolia
3.1,6.1,0,1,2,1,0,1,M. ovalifolia
3.1,5.5,0,1,2,1,0,1,M. ovalifolia
2.8,6.2,0,1,2,1,0,1,M. ovalifolia
3.2,6,0,1,2,1,0,1,M. ovalifolia
2.9,6.8,0,1,2,1,0,1,M. ovalifolia
4,7.5,0,1,2,1,0,1,M. ovalifolia
2.6,6.4,0,1,2,1,0,1,M. ovalifolia
2.5,4.8,0,1,2,1,0,1,M. ovalifolia
3,5.3,0,1,2,1,0,1,M. ovalifolia
2.4,6.4,0,1,2,1,0,1,M. ovalifolia
2.8,6,0,1,2,1,0,1,M. ovalifolia
2.4,5.8,0,1,2,1,0,1,M. ovalifolia
3.4,7.5,0,1,2,1,0,1,M. ovalifolia
3.5,7.3,0,1,2,1,0,1,M. ovalifolia
3.4,5.4,0,1,2,1,0,1,M. ovalifolia
2.5,6.6,0,1,2,1,0,1,M. ovalifolia
2.6,6.6,0,1,2,1,0,1,M. ovalifolia
2.6,5.1,0,1,2,1,0,1,M. ovalifolia
2.7,5,0,1,2,1,0,1,M. ovalifolia
4,6.5,0,1,2,1,0,1,M. ovalifolia
3.5,8,0,1,2,1,0,1,M. ovalifolia
4.2,8.1,0,1,2,1,0,1,M. ovalifolia
2.6,5.2,0,1,2,1,0,1,M. ovalifolia
2.1,4.4,0,1,2,1,0,1,M. ovalifolia
4.1,8.5,0,1,2,1,0,1,M. ovalifolia
2.7,6.1,0,1,2,1,0,1,M. ovalifolia
3.9,8,0,1,2,1,0,1,M. ovalifolia
3.2,5.7,0,1,2,1,0,1,M. ovalifolia
2.6,4.8,0,1,2,1,0,1,M. ovalifolia
2.3,5.5,0,1,2,1,0,1,M. ovalifolia
2.4,4.5,0,1,2,1,0,1,M. ovalifolia
2.5,4.5,0,1,2,1,0,1,M. ovalifolia
4.2,11,1,0,2,1,0,1,M. xylocarpa
6,10,1,0,2,1,0,1,M. xylocarpa
3.6,10,1,0,2,1,0,1,M. xylocarpa
3.3,6.2,1,0,2,1,0,1,M. xylocarpa
4.1,11,1,0,2,1,0,1,M. xylocarpa
4,11,1,0,2,1,0,1,M. xylocarpa
4.1,10,1,0,2,1,0,1,M. xylocarpa
4.4,9.4,1,0,2,1,0,1,M. xylocarpa
4,9,1,0,2,1,0,1,M. xylocarpa
